,pregid,postgid,frequency_train,dt_train,path,epsp_before,epsp_after,epsp_ratio,epsp_before_std,epsp_after_std,N,apical_ratio,Use_before_mean,Use_before_std,Dep_mean,Dep_std,Fac_mean,Fac_std,gmax_AMPA_before_mean,gmax_AMPA_before_std,spine_volume_mean,spine_volume_std,Nrrp_mean,Nrrp_std,Cpre_mean,Cpre_std,Cpost_mean,Cpost_std,risetime,epsp_before_amplitude,epsp_after_amplitude,epsp_ratio_amplitude
10,117838,123175,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/117838-123175/0Hz_-15ms/simulation.batch,0.002760555758365961,0.0031900113132895314,1.1555685131959714,0.0,0.0,5.0,0.8,0.5406634099676888,0.25231210980149155,736.4367518093097,73.0911079222297,25.09577213229396,28.539994189809327,0.7117623197110887,0.27259121436686146,0.053592073066844895,0.02570663406504747,1.0,0.0,0.042101723180346814,0.017454443491324304,0.0005115630728539554,0.0009321913613668325,4.8500000000000005,0.9408869066323272,0.6094767954678576,0.6477683887103176
11,23677,16455,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/23677-16455/0Hz_-15ms/simulation.batch,0.007074345060012598,0.003791856182934547,0.5360010221112672,0.0,0.0,4.0,0.0,0.3233467185217287,0.08867827174619694,622.7571234803951,82.66699852717284,13.573102605120024,11.68975893369267,0.3527362046878522,0.14860124418929324,0.022758626140015475,0.00478097490606274,1.0,0.0,0.025988422909059908,0.00929342552840113,0.008283737678249223,0.011772653705925704,1.425,0.6610036143964401,0.3497256808158717,0.5290828570358196
12,127325,2467,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/127325-2467/0Hz_-15ms/simulation.batch,0.013974825519305777,0.013788890014910012,0.9866949677376008,0.0,0.0,3.0,1.0,0.31707023253989786,0.17572937713638934,710.1192211774286,139.38101421563644,21.477601553312656,30.31444582831163,0.4696194969021615,0.16708822266094533,0.031085787551648425,0.011634464515458454,1.0,0.0,0.02551407352189956,0.005703845139565495,0.03167792195243243,0.003258449219160757,0.9,0.8321931449689245,0.8209060066657216,0.9864368766175976
13,1947,24378,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/1947-24378/0Hz_-15ms/simulation.batch,0.005323963662456539,0.006092360027610154,1.1443278755961808,0.0,0.0,2.0,0.5,0.4864255044692079,0.020835977866620503,636.7703635880064,87.26322516835302,4.266044384424871,4.266026940217989,0.5590630181763898,0.09610824282377878,0.04824119958625915,0.011475132876556302,1.0,0.0,0.044213956089661714,0.02576299543221491,0.021350110471528357,0.02130556677361633,1.65,0.5860816809791414,0.6652997350906273,1.1351655523154038
14,3302,2619,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/3302-2619/0Hz_-15ms/simulation.batch,0.00724578579432618,0.010712446517020064,1.4784382013346926,0.0,0.0,4.0,0.0,0.4092281310870973,0.031810528962869386,673.4346584421128,171.08353892830985,9.9027927907778,15.98679948428585,0.5428624801487762,0.2628911129918118,0.04002587390821835,0.01874929038895499,1.0,0.0,0.029637839711180832,0.016638369984080074,0.006878150987749165,0.002042473513989309,1.825,0.8721215228071626,1.2782121824901342,1.4656354063776085
15,6347,22435,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/6347-22435/0Hz_-15ms/simulation.batch,0.047077224592781186,0.046139377641021946,0.9800785420153452,0.0,0.0,2.0,0.5,0.7925508469566948,0.08062655042757727,604.6169254846932,122.35036619505459,21.404928801505644,21.40492879519423,1.170801415017564,0.3322241173639308,0.08397680353243961,0.0046009610656799075,1.5,0.5,0.023292146175280443,0.005590205236075169,0.01749534440436874,0.010445450007706109,0.9,2.7636043414092284,2.6944789607038526,0.9749872368958116
16,118838,125248,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/118838-125248/0Hz_-15ms/simulation.batch,0.006652058585187446,0.0055534493831562795,0.8348467338400315,0.0,0.0,4.0,0.5,0.3776056655065045,0.3201701907199089,700.429221083588,151.56492947850887,0.017274310417097562,0.028945092055942864,0.5083267860050753,0.33088956111247697,0.035403465916553974,0.025025672151546576,1.0,0.0,0.0263285838332562,0.0071743259037258846,0.008317020883089327,0.013326235333156295,1.5,0.6631133450652466,0.5328585805106649,0.8035708894657139
17,22895,5782,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/22895-5782/0Hz_-15ms/simulation.batch,0.010518917085650514,0.010834642086325062,1.0300149718933755,0.0,0.0,2.0,0.5,0.5801669330491201,0.02592292840800781,784.0513978925604,59.50144352392243,6.218770422606357,5.961992870852589,0.6956152778766475,0.19542032840510148,0.07137634224604722,0.011601681781872571,1.0,0.0,0.01500349343788979,0.0018517536970219907,0.02389626692099671,0.0065910034254270155,0.9,0.5935522414772215,0.6095142837447696,1.0268923965779693
18,5394,24014,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/5394-24014/0Hz_-15ms/simulation.batch,0.002119468462879318,0.00578234207512069,2.728203875827114,0.0,0.0,2.0,0.0,0.2812655771396124,0.13314383911364638,781.1539851742797,84.94898735056154,1.1675959752541454,0.10515174810894334,0.29983936979211945,0.07872459432619215,0.028202928501790892,0.00018457576488978798,1.0,0.0,0.0202952811035456,0.005196479192560218,0.0008131839395378622,1.7348406933176213e-06,1.825,0.2572320731787253,0.7213302622251118,2.8042003211781843
19,2699,26360,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/2699-26360/0Hz_-15ms/simulation.batch,0.0029308636441220714,0.002690652667615937,0.9180408897602984,0.0,0.0,3.0,1.0,0.3203915410546489,0.12799777352857064,627.9507217785559,47.46741960710597,16.42122917744688,18.410826276846574,0.4467644441176515,0.13912141497784689,0.029571398888634307,0.0025380436304781808,1.0,0.0,0.028287005693248643,0.009332751276536265,0.0634949959296111,0.03632639390657042,1.925,0.3745201285200601,0.3174358246128203,0.8475801444028869
20,10083,11735,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/10083-11735/0Hz_-15ms/simulation.batch,0.010209494480727138,0.009320175484271493,0.912892945078285,0.0,0.0,4.0,1.0,0.5285613170817871,0.18328228076531394,665.5947348431126,64.82726050361622,13.516276536924918,19.4896522534058,0.7300227924899704,0.3105332977943847,0.052367758889471636,0.017019497113821294,1.0,0.0,0.023688313952453327,0.005050492014377656,0.04552282557840834,0.019352037334729733,2.225,1.5070243049743357,1.3838627301612538,0.9182749910492126
21,10309,3673,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/10309-3673/0Hz_-15ms/simulation.batch,0.006340613133693982,0.0004717843187121848,0.07440673461137781,0.0,0.0,3.0,0.0,0.3958824366277859,0.14010026845787552,648.9640541416876,35.578025924938714,2.966964630556284,4.193692902790939,0.4522045898079807,0.11597802768080713,0.038100136684368624,0.012607980235159787,1.0,0.0,0.021022979663565453,0.0041859894110206075,0.00032779615440222044,0.00011329188695576508,1.95,0.8136969724104397,0.05989585005270327,0.07360952797362874
22,14613,4965,0.2,-15,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/banerjee_2014/simulations/L23PC_L23PC/14613-4965/0Hz_-15ms/simulation.batch,0.011199817803110272,0.0103214219308506,0.9215705212618964,0.0,0.0,2.0,0.0,0.5707975720839276,0.267415313965796,748.2838764207152,17.889585483169807,15.540733761382556,13.031955461754308,0.7691942285674583,0.3750663012208405,0.06418008451390425,0.02591063645734065,1.0,0.0,0.019435344217593388,0.0022972804732719807,0.015360368574054322,0.0008038422617473192,1.275,0.9259980166361924,0.8532146155048044,0.9214000464107008
