,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,outcome,outcome,outcome,outcome,outcome,error,error,error,error,error
,$\tau_\star$,$\gamma_d$,$\gamma_p$,"$b_{0,0}$","$b_{0,1}$","$b_{1,0}$","$b_{1,1}$","$a_{0,0}$","$a_{0,1}$","$a_{1,0}$","$a_{1,1}$",mrk97_01,mrk97_02,mrk97_07,mrk97_08,sjh06_02,mrk97_01,mrk97_02,mrk97_07,mrk97_08,sjh06_02
d1cedad9cbe0fc885458a5a7c76f3ff1,278.4378550062263,96.68568402300963,232.35629153302818,1.0008844814169116,1.9242526125633002,1.172256988766749,2.8354358425615844,7.293695349322168,1.461250909438835,10.349123260054101,4.934025106274282,0.9710775000117803,0.9782288633445531,1.1809507898019893,0.8582976952575702,1.111557190944267,0.4380624997054938,0.5209234753156389,0.32506725555927674,2.552034565929349,0.5728576771585213
9f0fa7a6d03393e10b3f5b6f25002bf3,258.80735608263745,91.2658405640552,247.91140131663508,1.0058557302706161,1.1739194637640715,1.172256988766749,2.777181454415726,6.138505230168774,1.438052016053223,10.860513054028777,4.651637677263659,0.988755405083739,0.9984338028697444,1.1775650023362427,0.8608922844506366,1.020576558256202,0.003885127093475327,0.24300133604203072,0.379153317312417,2.6522117548508333,0.43803824159775523
f95d1869fca489f647e6f0c666f60b24,246.6276305814023,81.82617421578085,234.6375167300162,3.5827304189351055,4.781730015733235,1.7492363008131013,3.4682071220508166,1.405719290680489,1.9612211778135173,5.502693922570835,1.0420442404534538,0.9927686581764752,1.0432337528120734,1.0287534619247842,0.9541385570984257,1.3005330823415533,0.10421645441187899,0.37322906206428363,2.756334474044981,6.2524539420241565,2.672589803795036
48ffa7f86d5aecaf1d40d37ee38002a5,250.03168531039765,105.69224175761343,144.70857803257528,1.4048531674924196,4.864119608893821,1.3162338877664204,2.0538897558508795,9.999144842714887,3.564443323697536,7.053040438237856,3.586695057969696,1.1443413049022801,1.2119143887988577,1.3801333240376397,1.1698718539107322,1.2177138105037377,3.893532622557003,2.693457892694054,2.856762364818524,14.581924861418232,1.752375672263752
b697ae35dd94701dd03ea510c427fcda,266.16017790141035,111.38781571247338,215.10244895704363,1.0079210531477394,1.8446117335752836,1.1403149265941348,2.4631772068076816,1.4277414922744447,2.1612198014785275,6.153990435156362,1.5677317638887938,0.9709067477802013,0.9645379139292649,1.1302190336137783,0.7955513737266791,0.9501423592091417,0.4423313054949696,0.7092446502164387,1.135478696265523,0.12939666898374677,1.2206404532317596
a749068f04e5a0ca8d79aa9471c06d40,236.7250018199851,156.967033679,216.11132288248064,1.3848723038329398,1.4533205748,1.111093057486772,2.4497637332,8.9659552171,1.339467602127203,7.184341213809472,4.4631050895,1.3258514456965216,1.3943741854741685,1.4230453390126103,1.2979112400842396,1.1408940098724765,8.431286142413038,5.203221258241657,3.5422578117030397,19.525530505182996,0.8988223319164046
904ce6b6b36ffd3f498033da46b56d62,277.0947893788896,104.52328843503606,199.49046673077288,1.0085834633622819,1.7867782015090314,1.262640856241784,2.7226235481199046,1.0283364076697414,2.2603481558319682,5.445698420522022,1.4815956249385938,0.6883853383458941,0.6264136311271585,0.7064350760935619,0.603493722588171,1.020565592345767,7.5053665413526485,5.3601976461188645,7.9051904777386275,7.285956656827374,0.4381600850470334
8565ec952bca0642a280f6d448592293,312.28135415392853,96.66692956541448,236.67501314534633,1.0027629567003638,1.9011944662463558,1.0456026829204674,2.6397399051762775,1.0091287039222265,2.4574895397582535,5.669074534229852,1.7885427264348164,1.3193317631845016,1.3509678231764082,1.4255158883066101,1.2661723904085045,1.0602039304114583,8.26829407961254,4.606159878630098,3.581723455377158,18.300092293764653,0.002265893460647502
a9f4afaf93afb9b2d77d029c319b9394,229.58530602946627,112.11596818429317,244.9330778291502,1.1484764228281126,1.8051763689332554,1.1398725470657254,2.6738528753812325,2.011735025608645,1.7979639841257675,6.4191227746773105,4.611116906952556,1.2497114173352957,1.2834647385844562,1.294377387771272,1.1215740204338538,0.8727940437874614,6.527785433382391,3.6776442721383247,1.486859229573036,12.71714364609474,2.0800661801393185
7a2b9dd41d44eb79da7af28216735a01,226.5517771994871,54.96030137193808,228.8852969814172,2.9129380615192613,3.439836356730906,1.8778339661558503,4.0150348989144895,8.14657598045631,1.0303629308301125,4.308850089261526,3.225635047294018,0.9976327960030943,1.025178030501615,1.0523744228701022,1.0174263474479568,1.3126685679835282,0.22581990007735642,0.12486974555178722,2.3790028295510837,8.695997970963582,2.807428533150312
4c8c9f43d99e3ca131ebd46698ce154e,278.7421262209384,114.56748043657643,250.3520001507144,1.0019891666922003,2.644447765826957,1.1663866247523569,2.4456865653438644,7.337519987689327,1.2614736335245773,10.010587920720981,4.841404255524049,1.056580578257087,1.104838607651914,1.3408951845325867,1.015536306671672,1.06857674326093,1.699514456427173,1.2206135853083095,2.2299550244822153,8.623023423616681,0.09529714734366726
689f07f76e80de32d2ed362c810d2d32,268.7460906404542,96.07454528675129,234.64146001649948,1.0003219786191333,1.8315381400429995,1.1396648060831331,2.8388172768759037,6.884251895698229,1.476792342985723,10.362947752062611,4.998845967946041,1.052509101272613,1.0642842395717194,1.2569270871806186,0.9291938277781047,1.080654450480285,1.5977275318153266,0.6627818373001287,0.8886116163038114,5.2893369798496,0.22949389422538918
4c469831b40fae7100295b2049f9e0ae,296.41462522830005,89.78924624192443,233.71317084747773,1.0027629567003638,1.4580451800427978,1.159378594933456,2.985107572990695,1.134333324978873,2.925169822064438,5.76244296394591,1.7885427264348164,0.9672723366250554,1.0185169012383155,1.1579040302817851,0.8908035464727141,1.1401455874026567,0.5331915843736157,0.03324485884890654,0.6932263533261167,3.807086736398227,0.890506526696185
29996870d2ff3244d01eff89b75811b9,271.5786414098412,64.98512646120581,248.78914475033739,1.9939563785858034,4.049800252989008,3.320654783411975,1.3400465674509556,9.544660904171458,4.604900255362828,1.8916859468761378,3.3990312267885137,0.9976531759129716,1.0118925560945267,1.0042666407202099,1.0019739615659382,1.5367197818142804,0.2263293978242903,0.05787405647143522,3.147497752073325,8.09938075544163,5.296886464603115
16b423c73e98859b330ee32b38350091,304.2392445177648,104.07418244787551,252.69831166044298,1.2586703064285005,2.003823124847245,1.1644396621887145,3.0669039210978664,9.522532877836703,2.090367713529135,7.283522902540549,4.862208813531878,1.2981695245841374,1.3881766252846948,1.4287429478005853,1.274805871302911,1.2202743766164321,7.739238114603433,5.117972837478607,3.633273926526921,18.633431324436714,1.7808264068492452
e719eeff02e05dcb3fc197cd6a021d1a,250.94112312516273,78.34294489776208,77.28665545875623,1.0001539150639032,4.928381532947394,1.230920821710587,3.200124686456826,9.912009483577162,4.125563095576209,8.700168315205515,4.9208189055814096,0.811298734877639,0.7631674946610807,0.7509711536124364,0.8138444368544318,0.9831576659371948,4.432531628059025,3.479126620892975,7.1937515397374385,0.835692542642152,0.8538037118089475
12cac4d7ef966b3464e9654554ff746e,290.4597325222652,81.0260519071562,210.4407988287221,1.0057070768350782,2.0282859733372147,1.1593869397453078,2.5271827980240977,1.1784717013235229,2.2589166171109794,5.4468398604941894,1.7080349870236713,1.0882559453476182,1.0940777836408062,1.2694168121567653,0.9219985683844502,1.122599998174223,2.4913986336904532,1.072596748841901,1.0881279897246843,5.011527736851357,0.6955555352691434
3bc775c1f6b105d22393fc3986f9e3cd,265.3640313352115,91.57261386068357,221.12646933677723,1.0085709740574271,1.8036630847462123,1.1571662366549131,2.8856794969305333,1.3039214005361437,2.1363899965965754,5.644200593002314,1.656386533246335,1.0279074500536232,0.9993593358613576,1.1315115387949726,0.8002631911818082,1.0721587457144957,0.9826862513405782,0.2302704833375845,1.114831648642611,0.31132012284973765,0.1350971746055067
59b56c90b018db7cdb43b6e258810a00,320.16217913122955,295.48906700709,29.41550251963496,4.5165439777741785,4.899502897769567,4.806040117071179,4.779009888844433,5.780595140635178,2.9952604903906175,9.040924639877986,3.95485612952151,0.9976331122089885,1.0082918073174607,0.9950503625883889,1.0019739919111121,0.9350122960925877,0.22582780522471257,0.10740292548197104,3.294722642358006,8.099381927069967,1.3887522656379148
bb9652655ac59fe2caf621158b9f2fbd,278.59622587413736,93.44750893083156,211.6558977184355,1.0024023236166195,1.9145482601842956,1.1593784325100782,2.4662129124061347,1.074471567170754,2.181718411715787,5.517189553664171,1.6306506337772166,0.9877729395526832,0.9841336818441053,1.188136047312556,0.8352305303870625,1.0543981229399686,0.02067651118292102,0.43970176280460355,0.21028678414447413,1.661410439654923,0.06224307844479397
92e339a31a059292ac2ee458e34a299e,247.5932291288181,62.74247930048116,103.83763497311861,1.02870187294798,4.99135228440225,1.5543029096617413,1.4071830935160992,9.718871376212128,3.693771526631097,8.521377593835155,4.341704478020339,0.8379513882549829,0.7979833260674164,0.8471094747515608,0.89767680792243,1.063197094405636,3.7662152936254274,3.000229352580242,5.657995610997431,4.072463626348648,0.035523271173731885
19e8c06e430e1f3d05f03a9e0b242b88,290.4823843147929,298.02373762711574,164.25302993492716,3.739490196284922,3.7408289853504337,2.2017271840659403,1.811354616716196,9.264294535843561,2.642435066368137,6.505190485154004,3.125528455051111,0.9976332744236696,1.010337699479424,1.0389330857209687,1.0021924559087185,1.1380257995485872,0.2258318605917381,0.07926135516610763,2.5937206753838877,8.107816830452453,0.8669533283176348
7f500a07e68b992ce13e6aae2447941f,257.4138359950623,99.71651138569527,224.43516784801363,1.0085714307294675,1.8245142135262529,1.1571662366549131,2.7887203094232667,1.7044429672158852,2.3692398033845645,6.885782228332421,1.8640559901882612,1.0058551394553914,0.9607231453647652,1.09806742515556,0.8383222866566636,0.9217323211479286,0.43137848638478415,0.7617173952576999,1.649082665246646,1.7807832685970513,1.5363075428007942
37ca6892b7bc07705f87fbdfcf35732e,277.68068595215647,108.63302658240674,249.5023413183578,1.0020025393217933,1.6709042033631516,1.5355168333732123,3.4798495342987628,5.953501883161671,1.0129991124024613,10.920804911590361,4.978562569332096,0.6418834758653634,0.6088541075735402,0.6110495754141716,0.6277708569083524,0.707851700676729,8.667913103365915,5.601731670240162,9.42892052054039,6.348615563384077,3.9127588813696788
97c0e25a1e53860c82220528a1a891f6,245.64219595196224,80.9037081007336,235.15941742749627,3.2425396557803055,3.5815885264388756,3.3763214634414465,1.7145095580146956,9.79595940299448,1.0469072125588448,4.308850089261526,4.032426284953569,0.9976319518670366,1.008291764577189,0.9950494604491145,1.001973686076187,1.0323570674527836,0.2257987966759134,0.10740351338117002,3.2947370535285234,8.099370118771697,0.3071436949690723
369ebf14891e82ecc8949ecc135a2232,249.66422217892665,120.50963352631061,274.9575162604117,1.000534550287342,1.5052213069744174,1.605177621095274,2.7625946235003638,6.78812689546042,1.4305566153029208,11.057217870892352,4.729326889875001,0.6425604465471266,0.6085778596027587,0.6065971728581261,0.6226954851498178,0.7626841965224643,8.650988836321835,5.605531504776359,9.500045162010766,6.5445758629414,3.3035089275281746
c3b381fd762e3905c5c352758a5d5087,266.71250864739994,227.55149218206338,91.89514410299843,1.4229217653683868,4.805049686472842,1.66065898820213,1.7403425866399624,7.741861578798625,3.6812890266783556,8.156335218985603,1.4300783880735244,0.9023412157615511,0.8764339230842262,0.8819796464545594,0.9350376873223277,1.086051600186045,2.1564696059612225,1.9211289809597498,5.100964114144419,5.514968622483695,0.2894622242893879
51b3d1438e4b2e5e18f40478d4ac6dea,211.16412909074916,83.73900026509547,134.29355133325026,4.4047332619665465,4.153526939669497,4.3790500382160875,2.0690056313673475,6.71330012041571,4.973330188187345,8.242962404418286,1.843335476086819,0.9976328364802296,1.0082919988707812,0.9950496346583175,1.0019747165218853,1.1021600002436234,0.22582091200573917,0.1074002906357463,3.2947342706339056,8.099409904319895,0.46844444715137024
aa2908a93834fd9d7fa1c5012144d3de,258.97496219364655,84.04728713626825,163.4653799305992,4.158383260697967,2.9870587448019243,2.186549572744313,3.8221937968849065,9.966849903890457,2.915677373866004,9.24357050431477,4.941350011440214,0.997633097930719,1.0083840290984558,0.9974553330645864,1.0019745798764028,1.1155273408285642,0.2258274482679734,0.10613440029634373,3.256304583632805,8.099404628432541,0.6169704536507127
9ba4f2e62600c5c7926188b26c0450a2,283.13814452230315,96.65753957779827,235.78991941043577,1.0019376002507987,1.8002584760326903,1.170384164334989,2.8388172768759037,6.556045390161012,1.8587101906463483,12.293285698363697,4.720176663621398,0.9633295978900744,0.9901714183479511,1.1896379447229575,0.8630784667122288,1.1006986413393516,0.6317600527481398,0.3566517421189673,0.18629481273230925,2.7366203363794885,0.4522071259927948
9d89c4a57f284291f2a8ed475e8b22e1,252.05080874564337,110.56849519091557,239.73008138806452,1.0011936297228352,1.8258148877987452,1.1721616109328046,2.8833265305640743,6.78812689546042,1.5390397413496297,9.567324321507543,4.685273612975861,0.9289555051845697,0.8833802256400746,1.0542566403355214,0.7760305989933995,1.0599851140577128,1.491112370385758,1.8255814905079153,2.3489354578990205,0.6243011971660414,0.00016539935874742502
431570299e07fbb4f1ad85a40daa048f,278.1908869853162,120.5465834456528,213.9355860543,1.0046018316226875,1.4533205748,1.1875683549090783,2.4741290130135076,8.426680164913243,1.6146750444200448,7.768273272703376,1.2410020427988502,0.7617011843869963,0.743986389968819,0.9231705473509073,0.7213974794919865,1.400175895235657,5.672470390325093,3.7429657500850197,4.442962502381673,2.733688050502452,3.7797321692850785
35f07e1448e4c06349dbb9901b61164f,252.40558672072385,82.14379429208734,255.91216180331057,1.0079536877889046,1.4054678921337784,1.1402102590298513,2.4489929319861923,1.0768278898654793,2.16484770782378,6.276951763273772,1.1196015146191245,1.1039858735012025,1.1263942137127356,1.2941486436812053,0.9903034330115384,1.1981776274017917,2.884646837530061,1.5171143564337775,1.483205170626282,7.648781197356697,1.535306971131018
44756b97ea59fe6e1bc60059d07a6224,288.5291109859939,143.20472634640043,216.46790922933062,1.510374377276369,1.629795660041632,1.1402102590298513,2.800617846387051,1.2275899022494383,2.185314905206999,6.335962577832106,1.4357157370421922,1.3037904357336005,1.3642485451760826,1.3866668372827349,1.2598800512702077,0.8759105346043669,7.879760893340013,4.788838310537588,2.9611315859861795,18.05714483668756,2.0454385043959245
7ae643601e71f9f32e896533bea15f51,282.2192761951479,97.10335657760804,261.2510416483329,1.0079536877889046,1.9045080929210934,1.108085695564205,2.4309688003505916,1.3012160395521912,1.9161451077001463,5.495375447227455,1.959020863429779,1.2436254532473066,1.2104889698551065,1.3661495676663373,1.1328212013238208,0.9273246701438304,6.375636331182663,2.67385102964383,2.6333796751811067,13.151397734510455,1.4741703317352188
