,pregid,postgid,frequency_train,dt_train,path,epsp_before,epsp_after,epsp_ratio,risetime,epsp_before_amplitude,epsp_after_amplitude,epsp_ratio_amplitude
32,93180,113170,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/93180-113170/0Hz_10ms/simulation.batch,0.0161026091497982,0.0161265484456357,1.0014866718563948,2.125,2.3551957057017487,2.351248263907682,0.998323943193124
33,93273,10853,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/93273-10853/0Hz_10ms/simulation.batch,0.00766372106755,0.0082402720612767,1.0752312080052042,5.125,2.573220717205142,2.7719067660288856,1.0772129835172255
34,88401,18051,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/88401-18051/0Hz_10ms/simulation.batch,0.0198891405675988,0.0336492793412361,1.6918417981344958,1.725,2.2889739285124158,3.786120933405252,1.6540690508719862
35,89866,18189,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/89866-18189/0Hz_10ms/simulation.batch,0.0185869273207226,0.0176009024678274,0.94695062632564,1.875,2.271983432990345,2.165474631809703,0.953120784406224
36,88314,9303,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/88314-9303/0Hz_10ms/simulation.batch,0.0209875941066971,0.0210042267041077,1.0007924966209127,1.7000000000000002,2.315697106717874,2.322075674400379,1.0027544913641773
37,91816,23816,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/91816-23816/0Hz_10ms/simulation.batch,0.0077963463256181,0.0094267120596044,1.2091192035208922,2.475,1.2882172859852408,1.4835218715166276,1.1516084185922222
38,99309,24554,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/99309-24554/0Hz_10ms/simulation.batch,0.0523645303071688,0.0508485735489818,0.971049931140516,1.0,3.455442523859196,3.3612212721874632,0.9727325079143548
39,91572,11941,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/91572-11941/0Hz_10ms/simulation.batch,0.0113160405124695,0.010799621805387,0.9543640104050972,2.75,1.90845569444583,2.1573829324146825,1.1304338574342094
40,98862,26642,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/98862-26642/0Hz_10ms/simulation.batch,0.0315518712032591,0.0291349566171642,0.9233986925680252,0.95,2.0026944329519627,1.850440788583475,0.9239755991411698
41,89858,16399,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/89858-16399/0Hz_10ms/simulation.batch,0.0252000082091529,0.0307430033485552,1.219960052925263,1.95,3.2300629045407208,3.975008862622205,1.2306289320354296
42,88415,25518,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/88415-25518/0Hz_10ms/simulation.batch,0.0380163140669515,0.0400865983671805,1.0544577861121125,1.525,3.820182385362848,3.958903065414269,1.0363125804105413
43,93167,10954,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/93167-10954/0Hz_10ms/simulation.batch,0.0075631722248251,0.0100640831081749,1.330669566817592,2.3000000000000003,1.1621750749007616,1.6008367563205828,1.377448880890238
44,92622,25584,0.2,10,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/rodriguez_paulsen_2008/simulations/L4PC_L23PC_mk801/92622-25584/0Hz_10ms/simulation.batch,0.0116426255406909,0.0175309804820104,1.5057583378199122,1.8,1.436055209708749,2.1768753582242963,1.5158716346746834
