connection_type,cell_pair,protocol_id,param_hash,actual_epsp_ratio,expected_epsp_ratio,difference_in_percentage,initial_rho,final_rho,expected_epsp_before,expected_epsp_after,actual_epsp_before,actual_epsp_after
L23PC_L5TTPC,15864-199162,sjh06_02,98e6976c7315,0.4448651594032287,0.34577027407399974,28.65916845935149,"[1, 1, 1, 0]","[1, 1, 0, 0]",0.6134839973562544,0.212124529905885,0.5840071954677626,0.25980445410439873
L23PC_L5TTPC,15864-199162,sjh06_02,ae9f31198d21,1.0246446209801578,1.0,2.464462098015785,"[1, 1, 1, 0]","[1, 1, 1, 0]",0.6134839973562544,0.6134839973562544,0.5840071954677626,0.5983998314497505
L23PC_L5TTPC,15864-199162,sjh06_02,484b1f513314,1.0246372633924905,1.0,2.4637263392490505,"[1, 1, 1, 0]","[1, 1, 1, 0]",0.6134839973562544,0.6134839973562544,0.5840071954677626,0.5983955345656116
L23PC_L5TTPC,15864-199162,sjh06_02,9e09c3d62d71,0.9953927147794701,1.0,-0.46072852205298886,"[1, 1, 1, 0]","[1, 1, 1, 0]",0.6134839973562544,0.6134839973562544,0.5840071954677626,0.5813165077474008
L23PC_L5TTPC,15864-199162,sjh06_02,4490730d094b,1.0062383467285472,1.0,0.6238346728547173,"[1, 1, 1, 0]","[1, 1, 1, 0]",0.6134839973562544,0.6134839973562544,0.5840071954677626,0.587650434845057
L23PC_L5TTPC,15864-199162,sjh06_02,b543c5342bb0,1.0065991778656405,1.0,0.659917786564046,"[1, 1, 1, 0]","[1, 1, 1, 0]",0.6134839973562544,0.6134839973562544,0.5840071954677626,0.5878611628254682
L23PC_L5TTPC,15864-199162,sjh06_02,82368ec8fda1,1.0246420101866127,1.0,2.4642010186612717,"[1, 1, 1, 0]","[1, 1, 1, 0]",0.6134839973562544,0.6134839973562544,0.5840071954677626,0.5983983067275344
L23PC_L5TTPC,15864-199162,sjh06_02,bb3ce68077f6,1.0246590671543852,1.0,2.465906715438515,"[1, 1, 1, 0]","[1, 1, 1, 0]",0.6134839973562544,0.6134839973562544,0.5840071954677626,0.5984082681194463
L23PC_L5TTPC,15864-199162,sjh06_02,f450d885b67e,1.006235754537336,1.0,0.6235754537335936,"[1, 1, 1, 0]","[1, 1, 1, 0]",0.6134839973562544,0.6134839973562544,0.5840071954677626,0.5876489209867375
L23PC_L5TTPC,15864-199162,sjh06_02,ebee1abda648,1.0066050800044073,1.0,0.6605080004407293,"[1, 1, 1, 0]","[1, 1, 1, 0]",0.6134839973562544,0.6134839973562544,0.5840071954677626,0.5878646097169766
L23PC_L5TTPC,15864-199162,sjh06_02,cdb1a102b22d,0.9865362124594004,1.0,-1.3463787540599625,"[1, 1, 1, 0]","[1, 1, 1, 0]",0.6134839973562544,0.6134839973562544,0.5840071954677626,0.5761442466658032
L23PC_L5TTPC,15864-199162,sjh06_02,faa4c9537a5f,1.024643432961642,1.0,2.4643432961642064,"[1, 1, 1, 0]","[1, 1, 1, 0]",0.6134839973562544,0.6134839973562544,0.5840071954677626,0.598399137638389
L23PC_L5TTPC,15864-199162,sjh06_02,6d267317ea0c,0.9994480284437577,1.0,-0.05519715562423144,"[1, 1, 1, 0]","[1, 1, 1, 0]",0.6134839973562544,0.6134839973562544,0.5840071954677626,0.5836848401072235
L5TTPC_L5TTPC,205559-199162,mrk97_01,e825da116cdc,1.0169594278908627,1.0,1.6959427890862688,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.9017273263915402,1.9339795338515604
L5TTPC_L5TTPC,205559-199162,mrk97_02,e825da116cdc,1.0254193061576986,1.0,2.5419306157698607,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.8781595121084902,1.9259010237597696
L5TTPC_L5TTPC,205559-199162,mrk97_07,e825da116cdc,1.0461960372467,1.0,4.619603724670007,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.854906170452294,1.940595484991642
L5TTPC_L5TTPC,205559-199162,mrk97_08,e825da116cdc,0.9991625011491473,1.0,-0.08374988508527137,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.9043271501785537,1.9027322783786316
L5TTPC_L5TTPC,205559-199162,mrk97_01,7e9980a52a5a,1.0169545182481603,1.0,1.69545182481603,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.9017273263915402,1.9339701970498708
L5TTPC_L5TTPC,205559-199162,mrk97_02,7e9980a52a5a,1.0329449245421756,1.0,3.294492454217557,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.8781595121084902,1.9400353355130735
L5TTPC_L5TTPC,205559-199162,mrk97_07,7e9980a52a5a,1.0462027776106166,1.0,4.620277761061664,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.854906170452294,1.940607987734262
L5TTPC_L5TTPC,205559-199162,mrk97_08,7e9980a52a5a,0.9991621145171323,1.0,-0.0837885482867673,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.9043271501785537,1.9027315421047883
L5TTPC_L5TTPC,205559-199162,mrk97_01,98e6976c7315,1.0169543989885597,1.0,1.695439898855966,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.9017273263915402,1.933969970250629
L5TTPC_L5TTPC,205559-199162,mrk97_02,98e6976c7315,1.0117913444790432,1.0,1.1791344479043175,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.8781595121084902,1.900305537902353
L5TTPC_L5TTPC,205559-199162,mrk97_07,98e6976c7315,1.0461971809626165,1.0,4.619718096261649,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.854906170452294,1.9405976064773525
L5TTPC_L5TTPC,205559-199162,mrk97_08,98e6976c7315,0.9991610617049889,1.0,-0.08389382950111379,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.9043271501785537,1.9027295372060395
L5TTPC_L5TTPC,205559-199162,mrk97_01,9cad658eaf67,1.0169543989885597,1.0,1.695439898855966,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.9017273263915402,1.933969970250629
L5TTPC_L5TTPC,205559-199162,mrk97_01,42fcbef9c959,1.0169558078281218,1.0,1.6955807828121783,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.9017273263915402,1.9339726494793228
L5TTPC_L5TTPC,205559-199162,mrk97_01,569b3c6a64ec,1.0169543989885597,1.0,1.695439898855966,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.9017273263915402,1.933969970250629
L5TTPC_L5TTPC,205559-199162,mrk97_02,9cad658eaf67,1.0254283865460692,1.0,2.542838654606916,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.8781595121084902,1.9259180781775613
L5TTPC_L5TTPC,205559-199162,mrk97_02,42fcbef9c959,1.0329474691795797,1.0,3.294746917957969,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",1.9179159710490084,1.9179159710490084,1.8781595121084902,1.940040114748019
