pre_gid,post_gid,freq_hz,delay_ms,n_synapses,n_potentiated_initial,n_potentiated_final,n_0to1,n_1to0,initial_rho_array,final_rho_array,initial_rho_bin,final_rho_bin,mean_epsp_before,mean_epsp_after,epsp_ratio
186198,204134,10.0,-50.0,4,2,1,1,2,"[1.0, 1.0, 0.0, 0.0]","[0.038065, 0.07155, 0.0, 0.617626]","[1, 1, 0, 0]","[0, 0, 0, 1]",1.1375601839142244,0.9978396707682631,0.8806973540296937
186356,189091,10.0,-50.0,11,6,3,1,4,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[0.465028, 0.034071, 0.578624, 0.381052, 0.418332, 0.499394, 0.11196, 0.0, 0.562147, 0.572665, 0.403913]","[0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]",2.35684050341058,1.3517518320286648,0.5787090136097651
186407,182154,10.0,-50.0,11,7,5,0,2,"[1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 0.0, 0.0, 0.32357, 0.400877, 0.416356, 0.746024, 1.0, 0.095012, 0.546118]","[1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]","[1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1]",2.2899527895725864,1.8580180959159147,0.8982923175998738
186810,208210,10.0,-50.0,6,3,2,0,1,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[0.648304, 0.093906, 0.048361, 0.0, 0.83588, 0.413482]","[1, 0, 1, 0, 1, 0]","[1, 0, 0, 0, 1, 0]",1.5429417425142504,1.5044359802335971,0.995597740362476
187212,192870,10.0,-50.0,4,3,1,0,2,"[1.0, 1.0, 1.0, 0.0]","[0.334516, 0.352054, 0.622568, 0.0]","[1, 1, 1, 0]","[0, 0, 1, 0]",1.0349589618918746,0.3316445770185195,0.32398112912640104
187417,207485,10.0,-50.0,9,5,3,0,2,"[1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]","[0.464169, 0.30115, 0.493777, 0.0, 1.0, 0.148701, 1.0, 1.0, 0.0]","[1, 1, 0, 0, 1, 0, 1, 1, 0]","[0, 0, 0, 0, 1, 0, 1, 1, 0]",6.94984716193321,3.473332500965211,0.5025348625934662
188013,194919,10.0,-50.0,14,7,7,1,1,"[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.419132, 0.101904, 0.0, 0.0, 0.551921, 1.0, 0.396692]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0]",2.030727725621682,1.7004902940155144,0.8489216902299255
189027,190257,10.0,-50.0,10,5,6,1,0,"[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0]","[0.226836, 0.688646, 0.502084, 0.320088, 0.0, 1.0, 0.0, 1.0, 0.581277, 0.500529]","[0, 1, 0, 0, 0, 1, 0, 1, 1, 1]","[0, 1, 1, 0, 0, 1, 0, 1, 1, 1]",1.7231368189640917,2.391447330353322,1.398641492675206
189143,193722,10.0,-50.0,7,6,3,0,3,"[1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]","[0.596291, 0.399178, 0.329113, 0.632647, 0.0, 0.597121, 0.158325]","[1, 1, 1, 1, 0, 1, 1]","[1, 0, 0, 1, 0, 1, 0]",2.2624827365965325,1.1635083288548353,0.5161708291783442
189265,184120,10.0,-50.0,3,1,1,1,1,"[0.0, 1.0, 0.0]","[0.400047, 0.336126, 0.559335]","[0, 1, 0]","[0, 0, 1]",0.6659566324703287,0.5970459563096207,0.9023275112429814
189415,192019,10.0,-50.0,4,1,3,2,0,"[0.0, 0.0, 0.0, 1.0]","[0.543528, 0.497355, 0.60109, 0.616186]","[0, 0, 0, 1]","[1, 0, 1, 1]",0.6447041095006346,1.8686176682773987,2.9061644288576356
189500,185042,10.0,-50.0,9,4,3,1,2,"[0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[0.514241, 0.354735, 0.0, 0.205619, 0.0, 0.765953, 0.0, 0.0, 0.777628]","[0, 1, 0, 1, 0, 1, 0, 0, 1]","[1, 0, 0, 0, 0, 1, 0, 0, 1]",2.4319789532021403,2.7321016964865894,1.1277650282611567
190073,201891,10.0,-50.0,10,4,2,1,3,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[0.371915, 0.278157, 0.761885, 0.0, 0.605742, 0.414937, 0.477444, 0.019064, 0.327829, 0.201303]","[0, 1, 1, 0, 0, 0, 1, 0, 0, 1]","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",3.0597045339056397,2.3142222944497988,0.7619235040146539
190353,181954,10.0,-50.0,5,2,2,0,0,"[0.0, 0.0, 1.0, 1.0, 0.0]","[0.0, 0.378058, 0.529193, 1.0, 0.202738]","[0, 0, 1, 1, 0]","[0, 0, 1, 1, 0]",0.7357414751184999,0.7357414751184999,1.0057619091916592
190392,207670,10.0,-50.0,6,3,2,0,1,"[1.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[0.510172, 0.042522, 0.0, 0.24084, 0.62288, 0.471596]","[1, 0, 0, 0, 1, 1]","[1, 0, 0, 0, 1, 0]",1.5945893567808214,1.2964504478052623,0.8146513325264264
190525,205438,10.0,-50.0,5,1,1,0,0,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.426374, 0.468285, 0.0, 0.0, 0.83696]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",0.511267040163908,0.511267040163908,1.00204213052871
190541,188497,10.0,-50.0,16,10,6,0,4,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0]","[0.0, 0.354846, 0.136473, 0.639347, 0.386717, 0.234024, 0.218409, 0.93092, 0.587755, 1.0, 0.470051, 0.564317, 0.521594, 0.37563, 0.0, 0.147335]","[0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0]",4.129356437975285,3.0294492510906483,0.741868472991237
191341,181892,10.0,-50.0,4,3,1,0,2,"[1.0, 1.0, 0.0, 1.0]","[0.469935, 0.268296, 0.460282, 0.640535]","[1, 1, 0, 1]","[0, 0, 0, 1]",2.916701422157724,1.0394250470506698,0.3575890258264058
191917,186517,10.0,-50.0,5,4,4,1,1,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.544943, 0.539206, 0.606387, 0.479614, 0.527186]","[1, 1, 1, 1, 0]","[1, 1, 1, 0, 1]",1.566234792102183,1.8801422062264197,1.2077521817705603
