
  Default parameters evaluation:
  Protocol         Predicted  Experiment      Error     N
differential_evolution step 111: f(x)= 0.041545192946059975
differential_evolution step 112: f(x)= 0.041545192946059975
differential_evolution step 113: f(x)= 0.041545192946059975
differential_evolution step 114: f(x)= 0.041545192946059975
differential_evolution step 115: f(x)= 0.041545192946059975
differential_evolution step 116: f(x)= 0.041545192946059975
differential_evolution step 117: f(x)= 0.041545192946059975
differential_evolution step 118: f(x)= 0.041545192946059975
differential_evolution step 119: f(x)= 0.041545192946059975
differential_evolution step 120: f(x)= 0.041545192946059975
differential_evolution step 121: f(x)= 0.041545192946059975
differential_evolution step 122: f(x)= 0.041545192946059975
differential_evolution step 123: f(x)= 0.041545192946059975
differential_evolution step 124: f(x)= 0.041545192946059975
differential_evolution step 125: f(x)= 0.041545192946059975
differential_evolution step 126: f(x)= 0.041545192946059975
differential_evolution step 127: f(x)= 0.041545192946059975
differential_evolution step 128: f(x)= 0.041545192946059975
differential_evolution step 129: f(x)= 0.041545192946059975
differential_evolution step 130: f(x)= 0.041545192946059975
differential_evolution step 131: f(x)= 0.041545192946059975
differential_evolution step 132: f(x)= 0.041545192946059975
differential_evolution step 133: f(x)= 0.041545192946059975
differential_evolution step 134: f(x)= 0.041545192946059975
differential_evolution step 135: f(x)= 0.041545192946059975
differential_evolution step 136: f(x)= 0.041545192946059975
differential_evolution step 137: f(x)= 0.041428467405001355
differential_evolution step 138: f(x)= 0.041428467405001355
differential_evolution step 139: f(x)= 0.041428467405001355
differential_evolution step 140: f(x)= 0.041428467405001355
differential_evolution step 141: f(x)= 0.041428467405001355
differential_evolution step 142: f(x)= 0.041428467405001355
differential_evolution step 143: f(x)= 0.041428467405001355
differential_evolution step 144: f(x)= 0.041428467405001355
differential_evolution step 145: f(x)= 0.041428467405001355
differential_evolution step 146: f(x)= 0.041428467405001355
differential_evolution step 147: f(x)= 0.041428467405001355
differential_evolution step 148: f(x)= 0.041428467405001355
differential_evolution step 149: f(x)= 0.041428467405001355
differential_evolution step 150: f(x)= 0.041428467405001355
differential_evolution step 151: f(x)= 0.041428467405001355
differential_evolution step 152: f(x)= 0.041428467405001355
differential_evolution step 153: f(x)= 0.041428467405001355
differential_evolution step 154: f(x)= 0.041428467405001355
differential_evolution step 155: f(x)= 0.041428467405001355
differential_evolution step 156: f(x)= 0.041428467405001355
differential_evolution step 157: f(x)= 0.041428467405001355
differential_evolution step 158: f(x)= 0.041428467405001355
differential_evolution step 159: f(x)= 0.041428467405001355
differential_evolution step 160: f(x)= 0.041428467405001355
differential_evolution step 161: f(x)= 0.041428467405001355
differential_evolution step 162: f(x)= 0.041428467405001355
differential_evolution step 163: f(x)= 0.041428467405001355
differential_evolution step 164: f(x)= 0.041428467405001355
differential_evolution step 165: f(x)= 0.041428467405001355
differential_evolution step 166: f(x)= 0.041428467405001355
differential_evolution step 167: f(x)= 0.041428467405001355
differential_evolution step 168: f(x)= 0.041428467405001355
differential_evolution step 169: f(x)= 0.041428467405001355
differential_evolution step 170: f(x)= 0.041428467405001355
differential_evolution step 171: f(x)= 0.041428467405001355
differential_evolution step 172: f(x)= 0.041428467405001355
differential_evolution step 173: f(x)= 0.041428467405001355
differential_evolution step 174: f(x)= 0.041428467405001355
differential_evolution step 175: f(x)= 0.041428467405001355
differential_evolution step 176: f(x)= 0.041428467405001355
differential_evolution step 177: f(x)= 0.041428467405001355
differential_evolution step 178: f(x)= 0.041428467405001355
differential_evolution step 179: f(x)= 0.041428467405001355
differential_evolution step 180: f(x)= 0.041428467405001355
differential_evolution step 181: f(x)= 0.041428467405001355
differential_evolution step 182: f(x)= 0.041428467405001355
differential_evolution step 183: f(x)= 0.041428467405001355
differential_evolution step 184: f(x)= 0.041428467405001355
differential_evolution step 185: f(x)= 0.041428467405001355
differential_evolution step 186: f(x)= 0.041428467405001355
differential_evolution step 187: f(x)= 0.041428467405001355
differential_evolution step 188: f(x)= 0.041428467405001355
differential_evolution step 189: f(x)= 0.041428467405001355
differential_evolution step 190: f(x)= 0.041428467405001355
